State,City,Year,Avg_AQI,Std_AQI,Avg_Water_Contamination,Avg_Industrial_Emission,Avg_Vehicular_Emission,Avg_GDP,Avg_Population,Avg_Public_Transport,Avg_AQI_Improvement,NCAP_Flag,CI_Lower,CI_Upper,Correlation_AQI_Emission,Projected_AQI_20pct_Cut
Andhra Pradesh,Amaravati,2010,159.2717,19.4609,1.1192,20464.75,117504.0,238596.0,2253.0,25.0,-0.6408,No,-2.6951,4.9335,-0.0054,149.72
Andhra Pradesh,Amaravati,2011,160.1292,19.1504,1.2058,29834.5,118862.0,252912.0,2276.0,25.0,0.2308,No,-2.5477,4.9593,-0.0054,150.52
Andhra Pradesh,Amaravati,2012,161.7083,22.8881,1.2825,31118.0,120613.0,268086.0,2307.0,25.0,1.4333,No,-3.2036,5.7686,-0.0054,152.01
Andhra Pradesh,Amaravati,2013,165.2692,19.1691,1.1008,21182.5,121145.0,284171.0,2317.0,25.0,-0.3825,No,-2.6563,4.8579,-0.0054,155.35
Andhra Pradesh,Amaravati,2014,170.9692,23.8009,1.225,26478.5,124761.0,301222.0,2381.0,25.0,-1.75,No,-3.44,5.89,-0.0054,160.71
Andhra Pradesh,Amaravati,2015,167.5992,21.4915,1.2233,30853.0,124078.0,319295.0,2369.0,25.0,0.5075,No,-2.989,5.4356,-0.0054,157.54
Andhra Pradesh,Amaravati,2016,168.1342,22.6749,1.1692,28281.5833,123878.0,338453.0,2365.0,25.0,0.5533,No,-3.2751,5.6135,-0.0054,158.05
Andhra Pradesh,Amaravati,2017,184.1437,43.8229,2.3452,149721.9167,57249.0208,262041.9167,83470.9583,38.6875,0.2592,No,-6.2441,10.9345,-0.0054,173.1
Andhra Pradesh,Amaravati,2018,99.2041,47.2485,2.6459,183661.263,36213.0137,235459.1589,112449.4027,41.1096,-1.087,No,-6.6148,11.9066,-0.0054,93.25
Andhra Pradesh,Amaravati,2019,94.7548,55.9681,2.6307,188540.2986,35501.1397,243645.8411,112149.1425,38.9781,-0.9071,No,-8.339,13.6004,-0.0054,89.07
Andhra Pradesh,Amaravati,2020,63.1122,31.257,2.6592,182645.0479,39221.117,251217.1436,109905.2819,39.6277,-0.8577,No,-3.4672,8.7856,-0.0054,59.33
Andhra Pradesh,Amaravati,2021,179.67,20.038,1.2592,28528.0,136433.0,452926.0,2587.0,25.0,-0.8242,Yes,-2.6682,5.1866,-0.0054,168.89
Andhra Pradesh,Amaravati,2022,176.4708,24.5822,1.135,32882.4167,134350.0,480102.0,2550.0,25.0,1.65,Yes,-3.6831,5.9531,-0.0054,165.88
Andhra Pradesh,Amaravati,2023,188.3083,23.7074,1.4242,35408.25,144236.0,508908.0,2724.0,25.0,-1.4625,Yes,-3.2225,6.0709,-0.0054,177.01
Andhra Pradesh,Amaravati,2024,182.8008,22.4822,1.0983,21994.0833,136728.0,539442.0,2592.0,25.0,-1.3758,Yes,-3.3082,5.5048,-0.0054,171.83
Andhra Pradesh,Amaravati,2025,175.8725,21.7396,1.2792,26302.8333,134109.0,571809.0,2546.0,25.0,-1.1908,Yes,-2.9818,5.5402,-0.0054,165.32
Andhra Pradesh,Visakhapatnam,2010,177.0292,24.9019,1.1142,20464.75,117504.0,117497.0,2253.0,40.0,-0.3558,No,-3.7666,5.995,-0.0054,166.41
Andhra Pradesh,Visakhapatnam,2011,178.8558,25.4497,1.1875,29834.5,118862.0,124547.0,2276.0,40.0,0.3517,No,-3.8006,6.1756,-0.0054,168.12
Andhra Pradesh,Visakhapatnam,2012,183.415,22.9417,1.285,31118.0,120613.0,132020.0,2307.0,40.0,-1.0908,No,-3.2116,5.7816,-0.0054,172.41
Andhra Pradesh,Visakhapatnam,2013,182.2342,25.205,1.0967,21182.5,121145.0,139941.0,2317.0,40.0,-0.0075,No,-3.8435,6.0369,-0.0054,171.3
